emp_no,first_name,last_name,title,to_date
57595,Heeju,Wielonsky,Senior Engineer,1990-09-23
57596,Shigehito,Schahn,Senior Staff,2001-07-15
57598,Lokesh,Heinisuo,Senior Staff,1999-10-04
57601,Kazuyasu,Brobst,Senior Staff,1994-09-23
57603,Arunas,Frezza,Senior Engineer,1996-03-26
57606,Houman,Demizu,Engineer,1986-09-30
57609,Greger,Casperson,Technique Leader,1996-03-15
57610,Khaled,Vecchi,Staff,1999-10-06
57612,Raimond,Rousseau,Senior Staff,1988-06-21
57616,Akeno,Bergere,Staff,1997-05-01
57618,Subhada,Schneeberger,Assistant Engineer,1995-09-30
57620,Along,Kragelund,Technique Leader,1986-04-18
57622,Jianhua,Koshino,Engineer,1999-11-16
57628,Shigehiro,Gornas,Senior Staff,1997-03-14
57629,Gretta,Vendrig,Senior Staff,1997-01-15
57632,Martial,Imataki,Staff,1989-10-06
57640,Aluzio,Stiles,Engineer,1991-02-05
57649,Gino,Kropp,Engineer,1997-11-11
57651,Ohad,Oxman,Senior Staff,1992-12-05
57655,Remzi,Gulik,Technique Leader,1999-05-09
57658,Maja,Bahk,Senior Staff,1995-09-14
57659,Odinaldo,Levergood,Engineer,1992-10-16
57660,Mayuri,Lally,Engineer,1994-03-31
57664,Gladys,England,Senior Engineer,1991-09-18
57665,Eldridge,Whittlesey,Senior Staff,1989-05-13
57669,Jianhui,Homond,Engineer,1997-01-19
57670,Poornachandra,Perz,Senior Engineer,1997-03-21
57672,Stevo,Peltason,Engineer,1997-12-30
57676,Alper,Noriega,Senior Staff,1994-06-27
57680,Tse,Herath,Senior Engineer,1996-03-22
57686,Valdiodio,Peek,Senior Staff,1991-12-03
57688,Mariangiola,Hofting,Senior Staff,1999-01-22
57689,Shuzo,Rosch,Senior Staff,1995-06-28
57691,Bogdan,Seiwald,Staff,1998-07-22
57695,Zhiguo,Kusakari,Staff,1998-10-06
57696,Arne,Monarch,Engineer,1998-04-22
57699,Yakichi,Talmor,Senior Engineer,1998-07-25
57706,Kolar,Quaggetto,Senior Staff,1997-07-14
57708,Nahla,Pardalos,Senior Engineer,1997-07-29
57709,Geoff,Chleq,Engineer,1995-01-15
57711,Bezalel,Farrow,Senior Staff,1994-10-25
57713,Theron,Bolotov,Senior Engineer,1989-03-23
57715,Shaibal,Chinen,Senior Staff,2002-07-13
57716,Kristinn,Schmiedel,Senior Engineer,1994-12-12
57718,Ayonca,Daescu,Technique Leader,1991-01-04
57720,Subhankar,Hasham,Technique Leader,1986-10-10
57721,Aral,Weedman,Senior Staff,1999-08-01
57722,Florina,Candan,Staff,1998-02-15
57724,Mark,Cools,Senior Staff,2000-02-18
57725,Patricio,Millington,Staff,1997-11-29
57727,Yannis,Vesel,Assistant Engineer,1996-09-10
57733,Ramalingam,Cooke,Staff,1999-10-30
57734,Sailaja,Peek,Staff,1990-07-06
57740,Georgi,Osgood,Senior Engineer,1993-03-30
57741,Dinah,Bouloucos,Senior Engineer,2001-11-18
57744,Kiyotoshi,Pesch,Senior Engineer,2001-02-14
57747,Fun,Lubachevsky,Senior Engineer,1994-11-26
57749,Luisa,Conte,Senior Staff,1992-12-04
57751,Dulce,Maksimenko,Technique Leader,1985-06-05
57752,IEEE,Schusler,Staff,1990-08-02
57753,Cordelia,Georgatos,Senior Engineer,1998-08-29
57754,Maria,Krone,Staff,1991-04-23
57755,Breannda,Munoz,Staff,1995-08-30
57756,Kwok,Ghalwash,Senior Staff,1995-07-28
57764,Yinghua,Gente,Engineer,1995-02-03
57768,Izaskun,Talmor,Senior Staff,1985-09-14
57769,Youpyo,Vickson,Senior Staff,1994-02-19
57773,Gaurav,McClure,Technique Leader,1996-06-10
57780,Martial,Androutsos,Senior Staff,1997-06-07
57795,Magy,Tetzlaff,Senior Staff,1987-04-24
57807,Xiadong,Ferriere,Engineer,1988-01-25
57815,JiYoung,Munawer,Senior Staff,1989-01-14
57819,Wilmer,Hellwagner,Staff,1992-01-10
57821,Alejandra,Bolotov,Senior Staff,1994-10-26
57822,Sachem,Camurati,Staff,1996-08-03
57826,Alair,Litecky,Engineer,1999-03-22
57827,Abdelkader,Vasanthakumar,Staff,1995-11-05
57829,Taisook,Tokunaga,Staff,1999-07-07
57834,Hideyuki,Demeyer,Senior Engineer,1992-07-08
57837,Aria,Murtafg,Senior Engineer,1996-02-09
57840,Panayotis,Jullig,Staff,1993-12-25
57841,Jordanka,Baek,Staff,1999-09-23
57847,Moon,Kornatzky,Senior Staff,1994-09-07
57850,Ayakannu,Kawashima,Staff,1998-01-05
57851,Horward,Nitta,Senior Engineer,1998-06-06
57852,Sivanarayana,Sadowsky,Senior Staff,2000-06-10
57856,Arunachalam,Bahi,Senior Staff,2001-04-10
57861,Akhilish,Munoz,Senior Staff,1998-04-25
57862,Reuven,Nyanchama,Senior Staff,1998-07-08
57865,Kazuhiro,Demian,Senior Engineer,1992-11-25
57869,Martine,Perl,Senior Engineer,1996-11-26
57870,Yurii,Georgatos,Senior Engineer,1998-02-17
57877,Brigham,Delgrande,Senior Engineer,1998-09-22
57880,Mandell,Brodie,Staff,1999-11-30
57882,Marsal,Bressoud,Senior Staff,1997-12-28
57883,Uma,Danlos,Senior Engineer,1987-10-27
57886,Fuqing,Kawashimo,Senior Staff,1985-07-24
57891,Oscar,Schapiro,Senior Engineer,1996-07-12
57893,Khalid,Tasistro,Senior Engineer,1992-08-01
57897,Kwok,Kranzdorf,Engineer,1986-01-06
57898,Atilio,Pearson,Senior Engineer,1986-05-17
57901,Koichi,VanScheik,Technique Leader,1997-12-07
57903,Chriss,Munck,Senior Staff,2000-02-16
57908,Holgard,Monarch,Senior Staff,1995-04-29
57910,Krassimir,Bale,Senior Engineer,1996-06-05
57912,Mohan,Gilg,Staff,1988-11-20
57915,Aral,Kermarrec,Senior Staff,1998-10-05
57918,Adib,Caine,Senior Engineer,1999-12-29
57919,Eckart,Fiutem,Senior Staff,1997-07-12
57924,Zhensheng,Matzat,Senior Engineer,1998-06-28
57926,Duangkaew,Shihab,Engineer,1993-09-24
57929,Gro,Debuse,Senior Engineer,1985-11-13
57930,Hideyuki,Veeraraghavan,Senior Staff,1999-12-28
57933,Yishay,Aamodt,Staff,1995-11-28
57938,Makato,Huhdanpaa,Engineer,1997-04-08
57939,Yechezkel,Majewski,Senior Staff,1995-05-19
57942,Licheng,Lindenbaum,Senior Engineer,1999-12-24
57945,Tsvetan,Merlo,Senior Engineer,1997-05-08
57949,Oldrich,Pezzoli,Staff,1999-01-20
57950,Hidde,Bergere,Engineer,1995-08-01
57958,Akhilish,Setiz,Senior Engineer,1990-09-22
57959,Tooru,Cyre,Senior Staff,1994-09-28
57963,Bogdan,Streit,Senior Engineer,1994-09-17
57965,Manton,Bolsens,Senior Staff,1998-07-08
57968,Froduald,Perng,Engineer,2001-08-22
57971,Ziya,Eiron,Senior Engineer,2000-05-23
57972,Gian,Malinowski,Senior Staff,1998-02-06
57979,Jahangir,Noriega,Senior Engineer,2000-01-08
57980,Shay,Matheson,Senior Engineer,1991-04-29
57983,Ranga,Iisaku,Senior Staff,1992-02-10
57985,Mokhtar,Bamford,Senior Staff,2000-08-30
57986,George,Bodoff,Engineer,1997-08-11
57988,Sahrah,Isaak,Senior Staff,1997-08-08
57990,Haldun,Buescher,Senior Engineer,1999-08-01
57996,Zhonghua,Xiaoshan,Staff,1996-08-20
58000,Nahid,Glowinski,Senior Engineer,1994-08-15
58002,Mayuko,Vakili,Senior Engineer,1998-10-21
58006,Ipke,Binding,Senior Staff,2000-11-09
58007,Nitsan,Zlotek,Senior Engineer,2002-01-03
58009,Herbert,England,Engineer,1999-06-19
58010,Gennady,Broder,Senior Staff,2000-10-19
58012,Tadahiro,DasSarma,Senior Staff,2001-05-24
58018,Sarita,Schieder,Technique Leader,1997-12-19
58022,Franziska,Marsiglia,Senior Engineer,1994-01-12
58024,Naftaly,Berztiss,Senior Engineer,1999-08-08
58026,Marko,Klerer,Senior Staff,2001-12-30
58027,Yakkov,Luef,Senior Engineer,2001-01-18
58029,Satoru,Giveon,Engineer,1997-04-15
58033,Maren,Etalle,Senior Staff,1986-07-04
58034,Rasiah,Rahimi,Staff,1987-01-31
58035,Jenwei,Speckmann,Senior Engineer,1994-02-05
58044,Deniz,Khalil,Senior Staff,1997-02-25
58045,Sajjad,Ellozy,Staff,1999-09-23
58050,Demin,Saoudi,Senior Staff,1999-12-25
58052,Kankanahalli,Melski,Technique Leader,1991-08-27
58053,Zissis,Karunanithi,Senior Staff,1995-12-07
58054,Christophe,Radwan,Senior Engineer,1996-11-30
58055,Radoslaw,Plotkin,Engineer,1994-05-21
58059,Behnaam,Zwicker,Senior Engineer,1991-06-20
58062,Qingxiang,Chartres,Senior Engineer,1997-10-08
58063,Dannz,Masand,Senior Staff,1998-12-24
58067,Noritoshi,Walstra,Engineer,1995-08-17
58073,Jianwen,Vecchio,Senior Staff,1999-12-26
58077,Tse,Weedon,Senior Staff,1996-04-26
58080,Hideyuki,Birta,Senior Staff,1994-08-28
58082,Mohammad,Talmor,Technique Leader,1991-01-04
58087,Narain,Szilard,Senior Staff,1998-07-22
58094,Danil,Katiyar,Engineer,1998-05-23
58096,Rosine,Usdin,Staff,1998-11-24
58099,Yunming,Fortenbacher,Staff,1996-06-17
58100,Weiyi,Worfolk,Senior Engineer,1999-09-22
58102,Aiichiro,Erni,Technique Leader,1999-09-16
58105,Adit,Luck,Senior Engineer,1997-11-12
58107,Shichao,Schapiro,Senior Engineer,1999-01-08
58109,Terresa,Ramsak,Assistant Engineer,1996-12-11
58111,Naftaly,Trystram,Engineer,1995-02-26
58115,Manu,Peir,Senior Engineer,1994-07-28
58118,Hidekazu,Butner,Senior Staff,2001-03-31
58119,Mads,Glinert,Senior Staff,1990-03-27
58121,Yuqun,Bugaenko,Senior Staff,1998-11-26
58123,Zhaofang,Isard,Senior Staff,1997-11-08
58125,Xiaoshan,Cesareni,Senior Engineer,1998-01-18
58127,Arno,Pietracaprina,Engineer,1999-07-27
58129,Chuanyi,Schnabel,Senior Staff,1995-10-24
58132,Zdislav,Kawashimo,Senior Staff,1998-10-28
58136,Lidong,Tsunoo,Engineer,1997-07-17
58139,Otmar,Kakkar,Senior Engineer,1997-10-20
58145,Kristinn,Bazelow,Senior Engineer,2000-03-24
58149,Jaihie,Kemmerer,Engineer,1995-05-29
58151,Masanao,Smeets,Senior Engineer,1992-04-05
58161,Akhilish,Karner,Senior Engineer,1996-06-26
58168,Aksel,Servieres,Engineer,1998-03-26
58174,Zita,Rissanen,Engineer,1992-02-01
58177,Vidar,Basagni,Senior Staff,1996-08-12
58178,Bernt,Lamparter,Engineer,1998-10-16
58181,Gunilla,Irland,Engineer,1996-05-08
58182,Gennady,Kroft,Senior Engineer,1995-09-05
58184,Yonghong,Mandelberg,Staff,1997-03-31
58187,Muneo,Rosiles,Engineer,1999-10-15
58197,Sahrah,Suri,Senior Engineer,1994-06-26
58199,Yechiam,Karnin,Staff,1995-12-02
58200,Berni,Ozeki,Senior Engineer,1999-04-12
58201,Willard,Bashian,Senior Engineer,1992-08-30
58206,Shaibal,Lorie,Senior Engineer,1989-11-30
58213,Toshimitsu,Wolniewicz,Senior Engineer,2001-04-17
58220,Uta,Vandervoorde,Assistant Engineer,1997-03-09
58222,Sarita,Takanami,Technique Leader,1989-08-09
58226,Ayonca,Gill,Staff,1997-01-20
58227,Armond,Bierbaum,Assistant Engineer,1997-04-18
58231,Marjo,Pauthner,Senior Staff,1994-11-25
58238,Bartek,Farris,Senior Staff,1996-01-19
58249,Wojceich,Siprelle,Staff,1992-03-14
58253,Sachio,Chartres,Senior Engineer,1997-05-06
58254,Premal,Ranft,Engineer,1994-01-20
58260,Kiyomitsu,Noriega,Senior Engineer,1998-05-05
58265,Guozhong,Wilharm,Senior Staff,1992-10-30
58266,Stabislas,Desikan,Staff,1988-08-03
58270,Jeanna,Ginneken,Senior Engineer,2000-09-08
58275,Marsha,Shokrollahi,Staff,1993-12-18
58280,Manohar,Peris,Senior Engineer,1993-10-28
58286,Yechiam,Poujol,Senior Staff,1987-01-15
58292,Patricio,Codenie,Staff,1997-06-25
58297,Jungsoon,Brattka,Staff,1990-06-16
58300,Frazer,Picco,Senior Staff,1999-04-27
58301,Gift,Lindqvist,Senior Staff,1995-07-06
58304,Mabo,Grospietsch,Senior Engineer,1997-03-25
58306,Rosalyn,Danecki,Senior Engineer,1994-10-06
58308,Valter,Maliniak,Senior Engineer,2001-04-16
58312,Fumiya,Terwilliger,Senior Staff,1999-03-27
58317,Eric,Kenevan,Engineer,1998-03-01
58318,Supot,Chinal,Senior Staff,1998-12-13
58319,Magy,Yemenis,Senior Staff,1990-05-06
58320,Satosi,Madeira,Senior Engineer,2002-07-06
58321,Djelloul,Hopewell,Staff,1994-03-10
58325,Kokou,Riexinger,Senior Engineer,1995-11-28
58327,Zhiwei,Tischendorf,Staff,1999-12-27
58329,Paddy,Schiper,Engineer,1987-09-29
58332,Dines,Bierbaum,Senior Engineer,1996-06-29
58334,Wojceich,Heydon,Staff,1995-09-30
58335,Chenye,Brodie,Senior Staff,1992-04-03
58336,Lucian,Jeong,Engineer,1997-10-30
58337,Tooru,Baek,Staff,1996-04-26
58342,Serenella,Muniz,Senior Staff,1997-04-27
58343,Moto,Vidal,Senior Staff,1994-02-21
58346,Ibibia,Lambe,Senior Staff,1996-07-05
58349,Morris,Ouhyoung,Staff,1998-01-18
58351,Chenye,Cannard,Senior Staff,1995-09-04
58352,Soenke,Hatcliff,Senior Engineer,1996-07-27
58353,Shen,Brizzi,Staff,1999-05-03
58357,Djenana,Vecchi,Senior Engineer,1998-10-02
58358,Gurbir,Denos,Senior Staff,1995-06-22
58362,Raimond,Randi,Staff,1997-08-24
58363,Jaideep,Caine,Senior Staff,1992-09-10
58364,Dmitry,Wuwongse,Staff,1996-01-14
58366,Akeel,Schnabel,Senior Engineer,1995-11-03
58368,Danai,Jenevein,Senior Staff,1999-05-18
58369,Jiann,Schiper,Senior Staff,1990-02-02
58371,Vugranam,Msuda,Senior Staff,1999-08-21
58372,Jingling,Kawashima,Senior Engineer,1997-04-03
58376,Marsja,Diderrich,Staff,1999-08-14
58377,Goo,Panienski,Senior Staff,1996-03-22
58378,Bilhanan,Gruenwald,Engineer,1998-08-12
58381,JoAnna,Gustavson,Senior Staff,1998-01-10
58383,Somnath,Tomescu,Senior Engineer,1992-11-17
58387,Shaz,Thebaut,Senior Engineer,1994-12-20
58388,Aemilian,Parveen,Senior Engineer,1994-12-25
58391,Ayonca,Gyimothy,Senior Staff,1997-09-17
58392,Youpyo,VanScheik,Engineer,1996-09-29
58395,Hisao,Apsitis,Technique Leader,1995-02-10
58396,Kenton,Billawala,Senior Staff,1991-09-19
58401,Jiang,Garrabrants,Staff,1996-11-01
58408,Weiyi,Puppo,Senior Staff,1995-06-11
58409,Mara,Fordan,Senior Engineer,2001-06-13
58410,Samphel,Bennis,Senior Staff,1992-06-12
58412,Mabry,Sidje,Staff,1998-07-04
58414,Shih,Schrift,Senior Staff,1995-09-02
58416,Zeydy,Plavsic,Senior Staff,1988-06-20
58417,Garnet,Bouloucos,Senior Staff,1995-05-10
58418,Dmitry,Masamoto,Staff,1992-08-24
58423,Wuxu,Badr,Staff,1997-06-03
58425,Foong,Calkin,Engineer,1998-09-04
58426,Seongbae,Cools,Staff,1997-12-23
58427,Guozhong,Frezza,Senior Staff,2000-03-24
58430,Olivera,Tetzlaff,Engineer,1998-08-17
58434,Aluzio,Melton,Engineer,1998-05-02
58435,Ottavia,Jonsson,Staff,1998-05-07
58437,Maya,Rusterholz,Senior Staff,2000-10-18
58443,Stein,Heping,Senior Staff,1996-05-30
58446,Xiaoqiang,Reghbati,Senior Staff,2001-03-07
58455,Miomir,Vidya,Senior Engineer,1989-11-28
58457,Yuping,Delaune,Technique Leader,1985-04-29
58458,Turgut,Koshiba,Senior Staff,1993-10-23
58460,Mart,Wixon,Senior Staff,1997-06-07
58462,Ronnie,Paciorek,Senior Staff,1992-02-09
58464,Mara,Maliniak,Senior Engineer,2000-08-19
58468,Lucian,Limongiello,Senior Staff,1991-06-25
58475,Angel,Chaudhury,Senior Engineer,2002-07-11
58483,Zine,Plotkin,Technique Leader,1997-02-05
58485,Genki,Raney,Senior Staff,2002-03-06
58490,Toshiko,Navazio,Senior Staff,1990-07-27
58499,Marjo,Pileggi,Senior Engineer,1995-07-01
58500,Gad,Gargeya,Engineer,1997-09-02
58503,Vitali,Limongiello,Engineer,1996-02-07
58508,Vasilis,Ravishankar,Engineer,1996-03-07
58509,Anneli,Laurillard,Senior Staff,1996-11-08
58510,Dzung,Falco,Senior Engineer,1994-09-09
58511,Udaiprakash,Setlzner,Engineer,1996-12-28
58515,Radhia,Hertweck,Senior Staff,1994-08-31
58516,Xianlong,Knightly,Senior Staff,1995-11-13
58517,Zita,Stentiford,Staff,1995-11-22
58518,Along,Perfilyeva,Senior Engineer,1990-10-31
58523,Prasadram,Bazelow,Senior Engineer,1999-04-13
58524,Jaideep,Sidhu,Senior Engineer,1995-01-20
58527,Feixiong,Daescu,Assistant Engineer,1999-10-12
58533,Fumino,Crelier,Technique Leader,1992-02-09
58534,Beshir,Jayawardene,Staff,1999-03-07
58535,Susanna,Gruenwald,Senior Engineer,1990-09-10
58536,Tetsurou,Ullian,Senior Engineer,1987-05-26
58541,Anneli,Pouyioutas,Staff,1997-02-08
58542,Zhenbing,Heystek,Assistant Engineer,1996-02-08
58543,Gully,Beausoleil,Senior Engineer,1993-09-12
58545,Kaijung,Ranta,Senior Engineer,1996-06-19
58554,Feipei,Tzvieli,Staff,1992-03-16
58559,Moti,Lamparter,Engineer,1995-03-09
58562,Demos,Hoogerwoord,Staff,1996-10-01
58567,Eric,Scallan,Senior Staff,1990-04-28
58569,Moriyoshi,Emiris,Senior Staff,1996-10-01
58570,Suebskul,Blokdijk,Senior Staff,1999-07-04
58571,Charlene,Navazio,Senior Engineer,1989-01-19
58575,Pasqua,Pfau,Senior Engineer,2001-04-17
58576,Xianlong,Fraisse,Senior Engineer,1993-01-20
58580,Zhiguo,Lienhardt,Senior Engineer,1994-09-22
58586,Guozhong,Zockler,Staff,1998-10-09
58587,Zijian,Detkin,Senior Engineer,2002-02-04
58590,Jayson,Roisin,Senior Staff,1993-05-20
58593,Hatsukazu,Petersohn,Senior Engineer,1992-05-19
58594,Arne,Schusler,Senior Engineer,1998-11-02
58602,Gen,Bahl,Technique Leader,1994-07-30
58606,Jiakeng,Zaumen,Senior Engineer,1996-09-24
58608,Jenwei,Khalid,Senior Staff,1987-10-25
58609,Behnaam,Mawatari,Staff,1998-07-28
58612,Divine,Junet,Engineer,1994-06-29
58620,Toshimori,Rosenbaum,Senior Staff,1991-09-15
58626,Moss,Reghbati,Senior Staff,1999-02-10
58632,Kwangjo,Penn,Engineer,1997-08-09
58634,Snehasis,Copas,Engineer,1989-12-08
58635,Giordano,Rabejac,Senior Engineer,1995-02-28
58636,Sandeepan,Chinal,Senior Staff,1998-04-16
58637,Mohamadou,Peck,Senior Engineer,1988-11-15
58639,Gregory,Emiris,Staff,1988-08-16
58640,Noritoshi,Karcich,Senior Engineer,1988-07-27
58644,Atilio,Ermel,Senior Staff,1999-11-20
58646,Froduald,Goodrum,Senior Engineer,1994-06-29
58653,Gretta,Hedayat,Senior Staff,1996-12-22
58657,Pasqua,Kaltofen,Senior Engineer,1986-12-04
58659,Claude,Rosin,Senior Staff,1997-08-03
58663,Owen,Coorg,Senior Staff,1998-04-11
58665,Mabhin,Marquardt,Senior Staff,1991-06-27
58666,Guangming,Schmezko,Senior Staff,1998-08-14
58667,Feipei,Pagter,Senior Engineer,1992-01-11
58670,Parto,Maccarone,Senior Engineer,1997-02-12
58672,Hatsukazu,Pavlopoulou,Engineer,1998-09-24
58677,Bowen,Madeira,Senior Engineer,2002-05-02
58678,Vivian,Zwicker,Senior Engineer,1990-11-15
58682,Siamak,Flasterstein,Senior Staff,2002-07-03
58684,Frederique,Denny,Engineer,1996-05-28
58685,Yuping,Puppe,Senior Staff,1994-01-27
58689,Zengping,Ushiama,Senior Staff,1995-02-02
58690,Salvador,DuCasse,Engineer,1994-01-27
58691,Narain,England,Senior Staff,1993-03-25
58694,Kasidit,Kragelund,Senior Staff,1995-08-07
58696,Zsolt,Ruemmler,Senior Staff,1991-10-03
58702,Tayeb,Kornatzky,Staff,1996-04-10
58709,Mang,Szmurlo,Senior Staff,2002-05-21
58710,Jessie,Lindenbaum,Senior Staff,1996-08-13
58713,Terresa,Kenevan,Senior Staff,1986-02-06
58719,Eishiro,Levergood,Senior Engineer,1995-03-15
58727,Junichi,Rullman,Senior Engineer,1990-06-15
58728,Boguslaw,Parfitt,Senior Engineer,1993-06-29
58735,Krassimir,Mayerwieser,Engineer,1999-06-02
58736,Cheong,Denny,Senior Engineer,1995-10-26
58743,Hitofumi,Stentiford,Senior Staff,1999-03-18
58749,Sachem,Junet,Engineer,1999-09-24
58753,Vitaly,Luders,Staff,1987-06-29
58755,Indrajit,Zedlitz,Senior Staff,1989-08-25
58757,Aria,Dechter,Senior Staff,1995-05-09
58767,Rildo,Barreiro,Senior Staff,1998-03-21
58773,Geoffry,Yavatkar,Engineer,1995-11-14
58779,Junichi,Eppinger,Engineer,1998-07-02
58780,Adin,Katzenelson,Senior Staff,1996-11-28
58781,Matt,Gischer,Engineer,1999-09-25
58787,Kristina,Erie,Engineer,1998-06-10
58788,Shmuel,Anger,Senior Engineer,1986-01-27
58789,Hercules,Cochrane,Senior Engineer,1995-04-26
58790,Peternela,Zockler,Senior Staff,1992-11-25
58795,Magdalena,Tsukuda,Senior Staff,1998-12-29
58797,Xiaoheng,Breugel,Senior Staff,1994-10-03
58801,Deniz,Rosch,Senior Engineer,1994-11-29
58806,Shakhar,Naumovich,Senior Staff,1995-10-02
58807,Murthy,Koshino,Senior Staff,1995-08-05
58809,Domenick,Riesenhuber,Staff,1993-11-01
58812,Fumiyo,Keohane,Senior Engineer,2001-09-25
58814,Gurbir,Loncour,Senior Staff,1997-01-12
58817,Xiaobin,Slutz,Engineer,1997-06-05
58818,Tsvetan,Sidje,Senior Staff,1996-03-02
58823,Feiyu,Pleszkun,Senior Staff,1999-09-03
58824,Claudi,Baalen,Senior Engineer,2000-05-11
58825,JoAnna,Swist,Senior Staff,1985-07-01
58826,Emdad,Peral,Senior Engineer,1995-05-20
58830,Uzi,Cunliffe,Senior Engineer,1992-02-27
58832,Dinah,Szilard,Senior Staff,1992-02-26
58835,Van,Vigier,Senior Engineer,1986-12-11
58836,Constantino,Rahimi,Senior Engineer,1993-12-27
58837,Bowen,Waleschkowski,Senior Engineer,1990-06-01
58838,Vasiliy,Jarecki,Engineer,1996-01-09
58841,Toshiko,Heuter,Senior Engineer,1999-03-12
58847,Jeanne,Mikschl,Senior Staff,2001-10-22
58848,Cathie,Cichocki,Senior Engineer,1993-08-05
58849,Takanari,Herath,Senior Staff,1998-03-25
58855,Lidong,Assaf,Staff,1998-08-30
58859,Holgard,Thombley,Senior Staff,1994-06-13
58860,Xudong,Lindenbaum,Technique Leader,1994-05-30
58862,Alagu,Cannata,Senior Engineer,1992-08-20
58864,Tonia,Plumb,Senior Engineer,1995-03-08
58867,Yuchang,Piveteau,Senior Engineer,1991-03-04
58869,Nahid,Eugenio,Senior Engineer,2002-06-17
58876,Zhenbing,Chinen,Staff,1998-05-02
58879,Cathie,Ushiama,Senior Engineer,1998-12-13
58891,Make,Munawer,Senior Staff,1989-08-22
58892,Masami,Cyne,Senior Staff,1995-04-15
58895,Eishiro,Spinelli,Staff,1994-06-11
58897,Kirk,Suermann,Senior Staff,1995-12-09
58901,Sreenivas,Potthoff,Engineer,1995-04-29
58904,Moti,Validov,Senior Staff,1998-04-05
58909,Halsur,Serov,Staff,1997-12-17
58913,Shahaf,Slaats,Technique Leader,1998-05-05
58914,Aemilian,Passino,Engineer,1999-08-07
58920,Youjian,Munke,Senior Engineer,1990-06-19
58932,Horward,Seuren,Senior Staff,1989-03-07
58933,Fusako,Demir,Engineer,1997-07-20
58934,Bouchung,Hardjono,Senior Engineer,1988-02-01
58943,Alejandra,Luks,Senior Staff,1995-10-16
58949,Sanjai,Billingsley,Engineer,1995-11-25
58950,Remzi,Bernardeschi,Senior Engineer,1999-02-25
58957,Feiyu,Luft,Senior Staff,2001-07-19
58959,Younwoo,Gecseg,Senior Staff,1997-06-28
58966,Jolita,Tasistro,Senior Engineer,1998-03-29
58970,Yongmin,Waterhouse,Senior Engineer,1994-02-16
58973,Marke,Decleir,Senior Engineer,1992-04-01
58974,Wonhee,Ravishankar,Senior Staff,1999-05-15
58981,Kazuhiko,Kushner,Senior Staff,1998-05-18
58988,Mototsugu,Lores,Engineer,1985-05-30
58991,Annemarie,Schaap,Staff,1998-04-14
58995,Claudi,Pehl,Engineer,1991-05-13
58996,Sven,Dengi,Senior Engineer,1986-10-30
59000,Yuriy,Barvinok,Senior Staff,1997-10-17
59002,Alselm,Maraist,Senior Engineer,1994-09-14
59005,Juyoung,Conde,Staff,1999-06-02
59007,Patricio,Hiltgen,Senior Engineer,1991-11-09
59011,Jouni,Flowers,Senior Engineer,1994-11-24
59016,Terresa,Kornyak,Senior Engineer,1991-05-11
59017,Akhilish,Pews,Senior Engineer,2001-08-06
59018,Marsal,Liesche,Senior Staff,1997-04-17
59020,Kazunori,Reeker,Senior Engineer,1993-02-08
59023,Hatsukazu,Pashtan,Staff,1994-03-12
59024,Fumiyo,Benaini,Staff,1995-12-21
59025,Oddvar,Demir,Engineer,1996-07-25
59029,Krassimir,Cmelik,Senior Staff,1988-11-12
59032,Uinam,Pusterhofer,Senior Engineer,1998-10-20
59043,Berry,Preusig,Staff,1998-04-29
59047,Jiong,Botman,Senior Engineer,1994-04-03
59060,Pohua,Jakobus,Senior Staff,1994-01-15
59061,Shalesh,Lyonns,Senior Staff,1999-06-26
59064,Muneo,Egerstedt,Staff,1998-05-31
59065,Gou,Nitta,Technique Leader,1991-12-12
59066,Abdulla,Mitina,Staff,1999-07-13
59068,Weiyi,Erva,Engineer,1996-04-13
59072,Sadok,Sigstam,Senior Engineer,2001-10-24
59073,Roded,Zockler,Senior Staff,1998-09-21
59078,Licheng,Larfeldt,Senior Engineer,1996-12-01
59087,Shakhar,Erdmenger,Senior Staff,2001-07-10
59089,Ramya,Zirintsis,Senior Engineer,1997-06-23
59090,Yuguang,Frezza,Senior Staff,1995-06-12
59093,Sanjoy,Impagliazzo,Staff,1995-12-31
59094,Adin,McDermid,Senior Engineer,1993-01-03
59096,Alexius,Leivant,Staff,1998-12-23
59099,Howell,Shimshoni,Engineer,1997-02-21
59107,Anneke,Constantine,Senior Engineer,1994-04-03
59109,Tesuya,Morrey,Senior Engineer,1996-11-24
59113,Lillian,Debuse,Senior Staff,1994-12-18
59114,Xumin,Vieri,Staff,1998-04-01
59118,Margo,Back,Staff,1996-09-25
59121,Quingbo,Trumbly,Senior Staff,1990-12-09
59123,Margareta,Magalhaes,Senior Staff,1993-10-19
59125,Hyuckchul,Menhardt,Senior Engineer,1996-06-06
59128,Jianwen,Lorho,Senior Engineer,1996-03-21
59130,Mingsen,Baja,Engineer,2000-10-24
59134,Atreyi,Salvesen,Engineer,1999-04-13
59140,Bikash,Anido,Senior Engineer,1996-02-25
59142,Murthy,Haraldson,Senior Engineer,1989-11-19
59143,Taegyun,Demir,Senior Staff,1998-07-14
59145,Tzu,Birch,Senior Engineer,1994-01-13
59146,Mahendra,Kalloufi,Staff,1986-02-17
59152,Yuguang,Sinicrope,Technique Leader,1991-10-08
59155,Larisa,Crooks,Engineer,1998-01-29
59161,Martijn,Goodrum,Senior Staff,2001-10-27
59164,Hideo,Schaad,Engineer,1986-06-22
59166,Charlene,Bernardinello,Senior Engineer,1997-12-06
